image_name,label,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
00000415.jpg,Plank,0.8897257,0.31982762,0.8960899,0.30005035,0.88931066,0.28920484,0.8615078,0.24211372,0.8462717,0.22175768,0.7827621,0.27160028,0.7731301,0.28383937,0.7201841,0.4867296,0.74059,0.5133665,0.76360214,0.65972775,0.7470249,0.66015,0.53466547,0.44353756,0.52477705,0.41654655,0.32402402,0.5132436,0.280409,0.5275747,0.11073117,0.53311366,0.10631623,0.574314
00000012.jpg,Plank,0.27132052,0.5117211,0.27400756,0.49471247,0.2731789,0.49498144,0.294367,0.47450954,0.29693294,0.4707094,0.32629365,0.51061636,0.33253598,0.5050954,0.34674567,0.6628629,0.35648942,0.6464855,0.3440685,0.7789833,0.34721202,0.7684026,0.4908592,0.54532444,0.4924713,0.56667745,0.5993799,0.66351604,0.59008837,0.65369684,0.74505293,0.7161743,0.72827864,0.71545434
00000156.jpg,Plank,0.8314579,0.71937454,0.83547956,0.694919,0.83083886,0.6854178,0.8006136,0.65542036,0.7912486,0.64598763,0.7062717,0.65685713,0.7293731,0.7132488,0.65162665,0.8046057,0.6927215,0.92799866,0.76548105,0.93128693,0.77990615,0.92548215,0.5047039,0.7065382,0.5195619,0.70249915,0.3290202,0.78084445,0.33534247,0.82627934,0.1934202,0.7503208,0.17722163,0.8163683
00000324.jpg,Plank,0.15347421,0.53342104,0.15030761,0.48826462,0.15036833,0.5113434,0.16682127,0.39562532,0.18357906,0.4349986,0.23131183,0.46145156,0.2677854,0.45892015,0.24222025,0.7970308,0.32869142,0.71395046,0.17117205,0.7943857,0.20793131,0.7632667,0.4982276,0.5767145,0.5095397,0.6212266,0.71151525,0.7580055,0.6876025,0.72842526,0.87384415,0.6459924,0.87168425,0.6122366
00000289.jpg,Plank,0.8217212,0.5421321,0.82484454,0.5257218,0.8222343,0.5156652,0.78826827,0.49243042,0.78496397,0.47327533,0.72039616,0.5271285,0.70789236,0.52288246,0.69542515,0.7249096,0.6800158,0.7229655,0.7098492,0.8983095,0.6971284,0.89326966,0.47078443,0.64855653,0.46086103,0.61516154,0.3097993,0.7354541,0.2787737,0.75266963,0.14714512,0.72317135,0.12584653,0.75031203
00000017.jpg,Plank,0.12878427,0.4887843,0.12528788,0.474298,0.1329079,0.47993872,0.15710974,0.456746,0.18145294,0.46585855,0.2368976,0.4895746,0.25497574,0.48981938,0.31187698,0.5957346,0.32908052,0.5786697,0.31552893,0.6937799,0.3360563,0.6805685,0.48937285,0.523826,0.49536994,0.5407101,0.6890239,0.5699915,0.67462456,0.56359386,0.9062154,0.59237576,0.8899874,0.58414423
00000184.jpg,Plank,0.8350129,0.5519696,0.8303364,0.53996027,0.8377345,0.54303616,0.8124302,0.50527585,0.82158107,0.5182585,0.7773799,0.48815688,0.78098774,0.5034525,0.70610094,0.6466359,0.7348298,0.6741428,0.70559174,0.7721397,0.7366087,0.8152288,0.5934513,0.5421844,0.59180295,0.5191103,0.41697687,0.66444993,0.41224518,0.6658727,0.2692623,0.7615668,0.26731157,0.7635919
00000053.jpg,Plank,0.86510086,0.32116064,0.863552,0.30428365,0.86263406,0.29624894,0.83369124,0.27344984,0.8257111,0.26612777,0.76304275,0.27883708,0.77026635,0.28780982,0.68974245,0.44674507,0.6928186,0.47410455,0.7345763,0.5991335,0.70387304,0.6297704,0.5183407,0.3945717,0.5233849,0.37100545,0.36910638,0.4320652,0.38084346,0.4490859,0.12465806,0.5016353,0.114710376,0.53527075
00000082.jpg,Plank,0.23988847,0.63259065,0.23838186,0.613378,0.23922844,0.61903745,0.25681946,0.5779958,0.26428613,0.5862845,0.29920003,0.60693705,0.3157609,0.60264087,0.34197694,0.7633741,0.35318002,0.7283307,0.31861728,0.9005593,0.3263591,0.8833952,0.4649147,0.6546401,0.47361484,0.6725158,0.56087697,0.7579258,0.56817704,0.75148904,0.71542484,0.8102414,0.71516335,0.7952066
00000395.jpg,Plank,0.116077945,0.30001736,0.11734931,0.26287088,0.10819061,0.28111938,0.1678423,0.19541252,0.15331502,0.22810306,0.24639659,0.2902642,0.2661119,0.2783801,0.27491748,0.52967966,0.3193217,0.46357796,0.24608822,0.70274705,0.27720487,0.6848053,0.502257,0.36150694,0.50922966,0.37657493,0.67131865,0.4823188,0.6511949,0.43866333,0.8693925,0.49445215,0.84973544,0.40716434
